,星期一,星期二,星期三,星期四,星期五,major
1,"[CC資訊網路大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],",資訊學院
2,"[CC資訊網路大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],",資訊學院
0,"[AA科技大樓],[5-10分鐘],","[體育一館],[0-5分鐘],","[AA科技大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],",資訊學院
1,"[S資訊管理大樓],[5-10分鐘],","[CC資訊網路大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],","[不在學校],",資訊學院
2,"[不在學校],","[不在學校],","[不在學校],","[不在學校],","[不在學校],,",資訊學院
0,"[不在學校],x,","x,","[EE綜合教學大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],",資訊學院
1,"[CC資訊網路大樓],[0-5分鐘],","[CC資訊網路大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[不在學校],",資訊學院
2,"[CC資訊網路大樓],[0-5分鐘],","[不在學校],","[CC資訊網路大樓],[0-5分鐘],","[不在學校],","[不在學校],,",資訊學院
0,"[AA科技大樓],[5-10分鐘],","[體育一館],[0-5分鐘],","[體育一館],[0-5分鐘],","[S資訊管理大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],,",資訊學院
1,"[S資訊管理大樓],[0-5分鐘],","[EE綜合教學大樓],[0-5分鐘],,[CC資訊網路大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],",資訊學院
2,"[CC資訊網路大樓],[10-15分鐘],","[CC資訊網路大樓],[10-15分鐘],","[CC資訊網路大樓],[10-15分鐘],","[CC資訊網路大樓],[10-15分鐘],","[CC資訊網路大樓],[10-15分鐘],",資訊學院
0,"[EE綜合教學大樓],[5-10分鐘],,[EE綜合教學大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],",資訊學院
1,"[S資訊管理大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],","[不在學校],x,,[不在學校],x,",資訊學院
2,"[CC資訊網路大樓],[5-10分鐘],,[CC資訊網路大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[不在學校],x,,[不在學校],x,","[不在學校],x,,[不在學校],x,","[不在學校],x,,[不在學校],x,",資訊學院
0,"[S資訊管理大樓],[0-5分鐘],","[體育一館],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[AA科技大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[S資訊管理大樓],[0-5分鐘],,[AA科技大樓],[5-10分鐘],","[S資訊管理大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],",資訊學院
1,"[S資訊管理大樓],[0-5分鐘],,[CC資訊網路大樓],[0-5分鐘],","[EE綜合教學大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],",資訊學院
2,"[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],",資訊學院
0,"[AA科技大樓],[5-10分鐘],,[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[10-15分鐘],,[體育一館],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[S資訊管理大樓],[5-10分鐘],","[S資訊管理大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],",資訊學院
1,"[S資訊管理大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],","[CC資訊網路大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[不在學校],x,",資訊學院
2,"[CC資訊網路大樓],[0-5分鐘],x,","[不在學校],","[不在學校],","x,","[不在學校],,",資訊學院
0,"[不在學校],x,","[體育一館],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],",資訊學院
1,"[S資訊管理大樓],[0-5分鐘],,[CC資訊網路大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[不在學校],x,",資訊學院
2,"[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[不在學校],","[不在學校],,[室外籃球場],[20分鐘以上],","[不在學校],,",資訊學院
0,"[S資訊管理大樓],[5-10分鐘],,x,","[體育一館],[10-15分鐘],,x,","[S資訊管理大樓],[10-15分鐘],,x,","[AA科技大樓],[10-15分鐘],,x,","[S資訊管理大樓],[10-15分鐘],,x,",資訊學院
1,"[CC資訊網路大樓],[5-10分鐘],x,","[EE綜合教學大樓],[5-10分鐘],x,","[AA科技大樓],[5-10分鐘],x,","[AA科技大樓],[5-10分鐘],x,","[AA科技大樓],[5-10分鐘],x,,",資訊學院
2,"[CC資訊網路大樓],[10-15分鐘],","[CC資訊網路大樓],[10-15分鐘],","[AA科技大樓],[10-15分鐘],","[AA科技大樓],[10-15分鐘],","[AA科技大樓],[10-15分鐘],",資訊學院
0,"[AA科技大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[體育一館],[0-5分鐘],,[體育一館],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],",資訊學院
1,"[S資訊管理大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[EE綜合教學大樓],[5-10分鐘],,[CC資訊網路大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],","[不在學校],x,",資訊學院
2,"[CC資訊網路大樓],[5-10分鐘],,[CC資訊網路大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[不在學校],x,,[不在學校],x,","[不在學校],x,,[不在學校],x,","[不在學校],x,,[不在學校],x,",資訊學院
0,"[AA科技大樓],[5-10分鐘],","x,","[AA科技大樓],[10-15分鐘],","[S資訊管理大樓],[10-15分鐘],","[S資訊管理大樓],[10-15分鐘],,",資訊學院
1,"[S資訊管理大樓],[0-5分鐘],,[CC資訊網路大樓],[0-5分鐘],","[EE綜合教學大樓],[0-5分鐘],,[AA科技大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],",資訊學院
2,"x,x,x,x","x,x,x,x","x,x,x,x","x,x,x,x","x,x,x,x",資訊學院
0,"[S資訊管理大樓],[0-5分鐘],","[體育一館],[0-5分鐘],,[體育一館],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],",資訊學院
1,"[AA科技大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[EE綜合教學大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[不在學校],,[不在學校],",資訊學院
2,"[CC資訊網路大樓],[0-5分鐘],,[不在學校],","[不在學校],,[不在學校],","[不在學校],,[不在學校],","[不在學校],,[不在學校],","[不在學校],,[不在學校],,",資訊學院
0,"[AA科技大樓],[0-5分鐘],","[體育一館],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],x,[0-5分鐘],",資訊學院
1,"[S資訊管理大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],",資訊學院
2,"[不在學校],,[不在學校],x,","[不在學校],,[不在學校],x,","[不在學校],,[不在學校],x,","[不在學校],,[不在學校],x,","[不在學校],,[不在學校],x,,",資訊學院
0,"[不在學校],x,,[不在學校],x,","[體育一館],[0-5分鐘],,[不在學校],x,","[AA科技大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],","[S資訊管理大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],",資訊學院
1,"[S資訊管理大樓],[5-10分鐘],,[CC資訊網路大樓],[5-10分鐘],","[CC資訊網路大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],,[不在學校],","[AA科技大樓],[5-10分鐘],,[不在學校],","[EE綜合教學大樓],[5-10分鐘],,[不在學校],",資訊學院
2,"[不在學校],,[不在學校],","[不在學校],,[不在學校],","[不在學校],,[不在學校],","[不在學校],,[不在學校],","[不在學校],,[不在學校],,",資訊學院
0,"[AA科技大樓],[5-10分鐘],","x,","[AA科技大樓],[10-15分鐘],","[S資訊管理大樓],[10-15分鐘],","[S資訊管理大樓],[10-15分鐘],,",資訊學院
1,"[S資訊管理大樓],[0-5分鐘],,[CC資訊網路大樓],[0-5分鐘],","[EE綜合教學大樓],[0-5分鐘],,[AA科技大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],",資訊學院
2,"x,x,x,x","x,x,x,x","x,x,x,x","x,x,x,x","x,x,x,x",資訊學院
0,"[不在學校],","[體育一館],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],",資訊學院
